frame_idx,led_1_status,led_2_status,0_x,0_y
9,0,0,76,148
10,0,0,70,150
11,0,0,62,153
12,0,0,56,155
13,0,0,49,156
14,0,0,42,159
15,0,0,35,161
16,0,0,28,162
17,0,0,21,164
18,0,0,19,164
19,0,0,19,163
20,0,0,22,161
21,0,0,23,159
22,0,0,24,159
23,0,0,24,159
24,0,0,24,159
25,0,0,33,156
26,0,0,22,146
27,0,0,21,143
28,0,0,19,139
29,0,0,18,135
30,0,0,19,132
31,0,0,20,127
32,0,0,20,121
33,0,0,21,115
34,0,0,21,110
35,0,0,20,103
36,0,0,20,96
37,0,0,20,90
38,0,0,20,83
39,0,0,20,76
40,0,0,19,69
41,0,0,19,62
42,0,0,20,56
43,0,0,19,51
44,0,0,19,46
45,0,0,20,41
46,0,0,20,37
47,0,0,20,35
48,0,0,20,34
49,0,0,20,34
50,0,0,20,34
51,0,0,20,35
52,0,0,20,35
53,0,0,20,35
54,0,0,20,34
55,0,0,20,33
56,0,0,18,31
57,0,0,18,28
58,0,0,21,27
59,0,0,25,26
60,0,0,28,26
61,0,0,32,24
62,0,0,36,23
63,0,0,40,22
64,0,0,48,11
65,0,0,54,9
66,0,0,60,7
67,0,0,65,5
68,0,0,65,5
69,0,0,65,5
70,0,0,65,5
71,0,0,65,5
72,0,0,65,5
73,0,0,65,5
74,0,0,65,5
75,0,0,65,5
76,0,0,65,5
77,0,0,129,41
78,0,0,136,43
79,0,0,143,45
80,0,0,149,46
81,0,0,155,47
82,0,0,161,48
83,0,0,166,51
84,0,0,171,53
85,0,0,177,54
86,0,0,182,55
87,0,0,186,57
88,0,0,191,60
89,0,0,196,61
90,0,0,201,62
91,0,0,207,62
92,0,0,211,62
93,0,0,217,64
94,0,0,222,65
95,0,0,228,65
96,0,0,235,66
97,0,0,239,66
98,0,0,243,67
99,0,0,248,69
100,0,0,252,71
101,0,0,257,72
102,0,0,262,74
103,0,0,266,75
104,0,0,261,72
105,0,0,266,73
106,0,0,271,73
107,0,0,275,73
108,0,0,280,73
109,0,0,284,74
110,0,0,289,74
111,0,0,295,74
112,0,0,301,74
113,0,0,307,74
114,0,0,314,74
115,0,0,321,74
116,0,0,328,74
117,0,0,334,74
118,0,0,341,75
119,0,0,347,74
120,0,0,355,75
121,0,0,360,74
122,0,0,367,74
123,0,0,373,73
124,0,0,378,73
125,0,0,384,73
126,0,0,390,74
127,0,0,395,74
128,0,0,401,74
129,0,0,407,75
130,0,0,413,75
131,0,0,419,75
132,0,0,425,73
133,0,0,430,73
134,0,0,436,73
135,0,0,442,74
136,0,0,447,74
137,0,0,452,75
138,0,0,457,76
139,0,0,461,77
140,0,0,464,77
141,0,0,467,77
142,0,0,471,78
143,0,0,474,79
144,0,0,477,80
145,0,0,482,80
146,0,0,486,81
147,0,0,488,83
148,0,0,492,83
149,0,0,496,84
150,0,0,500,85
151,0,0,504,85
152,0,0,509,86
153,0,0,513,87
154,0,0,517,88
155,0,0,520,88
156,0,0,525,89
157,0,0,529,91
158,0,0,533,92
159,0,0,535,93
160,0,0,539,93
161,0,0,543,93
162,0,0,546,94
163,0,0,550,95
164,0,0,553,95
165,0,0,556,95
166,0,0,560,97
167,0,0,564,97
168,0,0,568,97
169,0,0,571,99
170,0,0,574,101
171,0,0,578,102
