frame_idx,led_1_status,led_2_status,0_x,0_y
101,0,0,659,116
102,0,0,654,119
103,0,0,644,120
104,0,0,638,121
105,0,0,631,119
106,0,0,623,118
107,0,0,616,116
108,0,0,608,114
109,0,0,600,113
110,0,0,594,111
111,0,0,585,109
112,0,0,576,107
113,0,0,569,106
114,0,0,560,105
115,0,0,553,103
116,0,0,545,102
117,0,0,538,99
118,0,0,531,96
119,0,0,522,93
120,0,0,516,92
121,0,0,507,91
122,0,0,499,91
123,0,0,489,89
124,0,0,481,90
125,0,0,477,95
126,0,0,472,100
127,0,0,467,105
128,0,0,461,110
129,0,0,455,115
130,0,0,448,119
131,0,0,441,124
132,0,0,433,128
133,0,0,425,132
134,0,0,417,136
135,0,0,409,141
136,0,0,400,145
137,0,0,392,148
138,0,0,385,152
139,0,0,379,155
140,0,0,373,159
141,0,0,367,162
142,0,0,359,166
143,0,0,351,170
144,0,0,345,174
145,0,0,337,178
146,0,0,330,181
147,0,0,322,185
148,0,0,315,189
149,0,0,308,193
150,0,0,300,198
151,0,0,292,202
152,0,0,287,205
153,0,0,279,209
154,0,0,273,212
155,0,0,267,216
156,0,0,263,220
157,0,0,262,222
158,0,0,262,222
159,0,0,262,222
160,0,0,262,222
161,0,0,262,221
162,0,0,268,221
163,0,0,266,220
164,0,0,264,221
165,0,0,262,221
166,0,0,262,223
167,0,0,262,223
168,0,0,262,223
169,0,0,262,223
170,0,0,262,223
171,0,0,263,223
172,0,0,267,223
173,0,0,267,224
174,0,0,267,224
175,0,0,270,218
176,0,0,266,217
177,0,0,265,214
178,0,0,262,209
179,0,0,259,204
180,0,0,254,199
181,0,0,247,193
182,0,0,241,190
183,0,0,233,187
184,0,0,224,183
185,0,0,215,180
186,0,0,206,178
187,0,0,198,176
188,0,0,188,175
189,0,0,178,173
190,0,0,166,172
191,0,0,157,170
192,0,0,147,168
193,0,0,138,166
194,0,0,128,163
195,0,0,119,161
196,0,0,109,159
197,0,0,99,158
198,0,0,91,158
199,0,0,81,158
200,0,0,73,158
201,0,0,65,157
202,0,0,58,156
203,0,0,52,154
204,0,0,45,153
205,0,0,38,151
206,0,0,35,150
207,0,0,34,150
208,0,0,34,150
209,0,0,34,150
210,0,0,34,150
211,0,0,35,150
212,0,0,35,150
213,0,0,34,149
214,0,0,32,150
215,0,0,29,150
216,0,0,27,149
217,0,0,26,147
218,0,0,30,143
219,0,0,30,136
220,0,0,31,130
221,0,0,32,118
222,0,0,37,110
223,0,0,40,103
224,0,0,43,95
225,0,0,44,87
226,0,0,45,81
227,0,0,46,74
228,0,0,46,67
229,0,0,46,61
230,0,0,47,54
231,0,0,47,48
232,0,0,46,46
233,0,0,44,45
234,0,0,39,46
235,0,0,30,49
236,0,0,25,50
237,0,0,18,49
238,0,0,14,48
239,0,0,17,45
240,0,0,17,45
241,0,0,17,45
242,0,0,17,45
243,0,0,17,45
244,0,0,17,45
245,0,0,17,45
246,0,0,17,45
247,0,0,17,45
248,0,0,17,45
249,0,0,17,45
250,0,0,17,45
251,0,0,17,45
252,0,0,17,45
253,0,0,17,45
254,0,0,17,45
255,0,0,17,45
256,0,0,17,45
257,0,0,17,45
258,0,0,17,45
259,0,0,17,45
260,0,0,17,45
261,0,0,17,45
262,0,0,17,45
263,0,0,17,45
264,0,0,17,45
265,0,0,17,45
266,0,0,17,45
267,0,0,17,45
268,0,0,17,45
269,0,0,17,45
270,0,0,17,45
271,0,0,17,45
272,0,0,17,45
273,0,0,17,45
274,0,0,17,45
275,0,0,17,45
276,0,0,17,45
277,0,0,17,45
278,0,0,17,45
279,0,0,17,45
280,0,0,17,45
281,0,0,17,45
282,0,0,17,45
283,0,0,17,45
284,0,0,153,214
285,0,0,160,211
286,0,0,168,208
287,0,0,175,204
288,0,0,181,201
289,0,0,188,198
290,0,0,196,196
291,0,0,205,195
292,0,0,212,194
293,0,0,221,193
294,0,0,229,193
295,0,0,237,194
296,0,0,246,194
297,0,0,253,195
298,0,0,261,198
299,0,0,269,195
300,0,0,276,201
301,0,0,283,206
302,0,0,291,212
303,0,0,299,218
304,0,0,307,223
305,0,0,314,228
306,0,0,320,230
307,0,0,324,231
308,0,0,328,232
309,0,0,329,233
310,0,0,329,233
311,0,0,329,233
312,0,0,328,240
313,0,0,328,240
314,0,0,328,240
315,0,0,328,240
316,0,0,328,240
317,0,0,328,240
318,0,0,328,240
319,0,0,328,240
320,0,0,328,240
321,0,0,328,240
322,0,0,328,240
323,0,0,328,240
324,0,0,328,240
325,0,0,328,240
326,0,0,328,240
327,0,0,328,240
328,0,0,328,240
329,0,0,328,240
330,0,0,328,240
331,0,0,328,240
332,0,0,328,240
333,0,0,328,240
334,0,0,328,240
335,0,0,328,240
336,0,0,328,240
337,0,0,328,240
