frame_idx,led_1_status,led_2_status,0_x,0_y
9,0,0,222,17
10,0,0,221,18
11,0,0,217,19
12,0,0,214,20
13,0,0,208,21
14,0,0,214,19
15,0,0,207,20
16,0,0,203,21
17,0,0,199,21
18,0,0,193,22
19,0,0,188,24
20,0,0,182,24
21,0,0,175,24
22,0,0,172,24
23,0,0,168,24
24,0,0,164,24
25,0,0,159,22
26,0,0,152,20
27,0,0,145,19
28,0,0,140,20
29,0,0,135,20
30,0,0,128,19
31,0,0,120,20
32,0,0,114,19
33,0,0,109,18
34,0,0,104,17
35,0,0,99,16
36,0,0,94,15
37,0,0,86,15
38,0,0,81,15
39,0,0,75,15
40,0,0,67,14
41,0,0,63,14
42,0,0,59,14
43,0,0,54,14
44,0,0,50,14
45,0,0,47,15
46,0,0,43,16
47,0,0,38,17
48,0,0,33,18
49,0,0,28,19
50,0,0,23,20
51,0,0,21,19
52,0,0,22,18
53,0,0,23,16
54,0,0,22,14
55,0,0,22,14
56,0,0,22,14
57,0,0,36,14
58,0,0,34,15
59,0,0,32,17
60,0,0,30,20
61,0,0,28,21
62,0,0,28,22
63,0,0,27,22
64,0,0,25,25
65,0,0,24,29
66,0,0,21,33
67,0,0,20,37
68,0,0,20,39
69,0,0,20,39
70,0,0,20,39
71,0,0,20,39
72,0,0,20,40
73,0,0,12,48
74,0,0,12,48
75,0,0,13,48
76,0,0,13,47
77,0,0,14,46
78,0,0,14,46
79,0,0,14,46
80,0,0,14,45
81,0,0,14,45
82,0,0,14,45
83,0,0,14,45
84,0,0,14,45
85,0,0,14,45
86,0,0,14,45
87,0,0,14,47
88,0,0,14,49
89,0,0,13,53
90,0,0,11,56
91,0,0,10,60
92,0,0,9,62
93,0,0,9,63
94,0,0,9,63
95,0,0,9,63
96,0,0,9,63
97,0,0,9,63
98,0,0,10,63
99,0,0,11,61
100,0,0,12,61
101,0,0,12,60
102,0,0,12,60
103,0,0,12,60
104,0,0,12,60
105,0,0,12,60
106,0,0,12,60
107,0,0,13,58
108,0,0,15,57
109,0,0,15,57
110,0,0,18,58
111,0,0,20,59
112,0,0,22,61
113,0,0,24,61
114,0,0,26,62
115,0,0,26,62
116,0,0,26,62
117,0,0,26,62
118,0,0,26,62
119,0,0,26,62
120,0,0,26,62
121,0,0,26,62
122,0,0,59,57
123,0,0,59,57
124,0,0,59,57
125,0,0,59,57
126,0,0,59,57
127,0,0,59,57
128,0,0,59,53
129,0,0,58,49
130,0,0,55,47
131,0,0,54,47
132,0,0,55,46
133,0,0,56,44
134,0,0,54,41
135,0,0,52,38
136,0,0,51,35
137,0,0,51,33
138,0,0,51,31
139,0,0,52,31
140,0,0,52,31
141,0,0,52,31
142,0,0,52,31
143,0,0,53,32
144,0,0,55,34
145,0,0,56,36
146,0,0,57,36
147,0,0,57,37
148,0,0,57,37
149,0,0,57,37
150,0,0,58,37
151,0,0,58,38
152,0,0,57,38
153,0,0,58,38
154,0,0,61,38
155,0,0,63,40
156,0,0,64,40
157,0,0,65,40
158,0,0,65,41
159,0,0,64,41
160,0,0,65,41
161,0,0,67,42
162,0,0,68,42
163,0,0,71,43
164,0,0,75,43
165,0,0,80,43
166,0,0,85,43
167,0,0,90,42
168,0,0,96,42
169,0,0,103,42
170,0,0,111,42
171,0,0,118,41
172,0,0,127,42
173,0,0,135,42
174,0,0,143,43
175,0,0,152,43
176,0,0,159,44
177,0,0,168,44
178,0,0,174,44
179,0,0,182,44
180,0,0,189,44
181,0,0,196,45
182,0,0,199,46
183,0,0,200,47
184,0,0,201,49
185,0,0,201,51
186,0,0,192,53
187,0,0,195,56
188,0,0,196,56
189,0,0,197,58
190,0,0,199,58
191,0,0,200,61
192,0,0,201,62
193,0,0,201,65
194,0,0,201,67
195,0,0,202,68
196,0,0,204,71
197,0,0,206,72
198,0,0,207,72
199,0,0,211,78
200,0,0,212,79
201,0,0,213,80
202,0,0,213,82
203,0,0,213,82
204,0,0,214,85
205,0,0,215,86
206,0,0,217,86
207,0,0,218,88
208,0,0,219,89
209,0,0,221,91
210,0,0,221,92
211,0,0,222,93
212,0,0,222,94
213,0,0,222,96
214,0,0,221,98
215,0,0,220,100
216,0,0,220,102
217,0,0,220,104
218,0,0,221,106
219,0,0,221,107
220,0,0,221,108
221,0,0,221,111
222,0,0,221,113
223,0,0,219,116
224,0,0,221,117
225,0,0,221,119
226,0,0,220,122
227,0,0,218,127
228,0,0,216,130
229,0,0,216,132
230,0,0,216,134
231,0,0,210,141
232,0,0,207,143
233,0,0,207,143
234,0,0,207,143
235,0,0,207,143
236,0,0,207,143
237,0,0,207,143
238,0,0,207,143
239,0,0,207,143
240,0,0,206,182
241,0,0,209,181
242,0,0,215,180
243,0,0,217,183
244,0,0,217,178
245,0,0,218,178
246,0,0,218,179
247,0,0,219,179
248,0,0,219,181
249,0,0,221,173
250,0,0,219,171
251,0,0,217,170
252,0,0,215,168
253,0,0,214,166
254,0,0,212,163
255,0,0,210,162
256,0,0,208,161
257,0,0,206,158
258,0,0,203,156
259,0,0,202,155
260,0,0,199,155
261,0,0,191,150
262,0,0,188,149
263,0,0,186,150
264,0,0,184,151
265,0,0,182,151
266,0,0,179,151
267,0,0,179,151
268,0,0,178,153
269,0,0,176,155
270,0,0,174,155
271,0,0,173,156
272,0,0,171,156
273,0,0,170,156
274,0,0,170,157
275,0,0,170,157
276,0,0,170,157
277,0,0,169,158
278,0,0,169,159
279,0,0,169,161
280,0,0,171,163
281,0,0,171,164
282,0,0,170,166
283,0,0,169,168
284,0,0,168,169
285,0,0,167,174
286,0,0,166,177
287,0,0,166,179
288,0,0,166,181
289,0,0,165,183
290,0,0,165,186
291,0,0,165,188
292,0,0,167,190
293,0,0,168,193
294,0,0,170,194
295,0,0,172,196
296,0,0,174,197
297,0,0,175,199
298,0,0,176,201
299,0,0,176,204
300,0,0,177,206
301,0,0,178,209
302,0,0,178,210
303,0,0,180,213
304,0,0,180,216
305,0,0,179,218
306,0,0,179,219
307,0,0,179,219
308,0,0,178,219
309,0,0,176,221
310,0,0,174,221
311,0,0,171,222
312,0,0,168,220
313,0,0,163,222
314,0,0,158,221
315,0,0,153,221
316,0,0,150,221
317,0,0,146,222
318,0,0,143,223
319,0,0,139,225
320,0,0,136,226
321,0,0,134,226
322,0,0,132,226
323,0,0,131,226
324,0,0,131,226
325,0,0,131,226
326,0,0,131,226
327,0,0,131,226
328,0,0,131,226
329,0,0,130,228
330,0,0,127,230
331,0,0,127,231
332,0,0,133,234
333,0,0,141,232
334,0,0,143,232
335,0,0,146,231
336,0,0,150,227
337,0,0,152,225
338,0,0,152,225
339,0,0,152,225
340,0,0,152,225
341,0,0,152,225
342,0,0,152,225
343,0,0,152,225
344,0,0,152,225
345,0,0,155,218
346,0,0,141,207
347,0,0,142,205
348,0,0,143,202
349,0,0,144,200
350,0,0,145,199
351,0,0,147,198
352,0,0,149,196
353,0,0,152,195
354,0,0,155,192
355,0,0,157,190
356,0,0,158,186
357,0,0,158,181
358,0,0,161,178
359,0,0,164,176
360,0,0,167,173
361,0,0,169,166
362,0,0,173,162
363,0,0,176,158
364,0,0,179,149
365,0,0,182,144
366,0,0,184,139
367,0,0,188,132
368,0,0,191,123
369,0,0,195,116
370,0,0,197,110
371,0,0,200,104
372,0,0,201,97
373,0,0,205,81
374,0,0,208,75
375,0,0,210,70
376,0,0,211,63
377,0,0,212,57
378,0,0,211,54
379,0,0,202,53
380,0,0,193,52
381,0,0,188,49
382,0,0,182,45
383,0,0,182,49
384,0,0,179,45
385,0,0,177,42
386,0,0,178,39
387,0,0,182,37
388,0,0,185,36
389,0,0,189,34
390,0,0,192,33
391,0,0,195,31
392,0,0,196,31
393,0,0,197,31
394,0,0,197,31
395,0,0,198,33
396,0,0,203,34
397,0,0,209,34
398,0,0,216,34
399,0,0,221,35
400,0,0,227,36
401,0,0,230,38
402,0,0,235,37
403,0,0,240,37
404,0,0,243,36
405,0,0,247,37
406,0,0,250,38
407,0,0,252,39
408,0,0,254,43
409,0,0,257,47
410,0,0,261,51
411,0,0,265,57
412,0,0,269,60
413,0,0,275,63
414,0,0,280,66
415,0,0,283,67
416,0,0,286,67
417,0,0,289,67
418,0,0,292,66
419,0,0,293,66
420,0,0,293,66
421,0,0,293,64
422,0,0,279,64
423,0,0,280,64
424,0,0,281,64
425,0,0,283,62
426,0,0,285,59
427,0,0,287,56
428,0,0,296,40
429,0,0,296,34
430,0,0,293,29
431,0,0,292,25
432,0,0,291,22
433,0,0,290,18
434,0,0,288,16
435,0,0,287,16
436,0,0,287,16
437,0,0,287,16
438,0,0,286,17
439,0,0,281,21
440,0,0,275,21
441,0,0,269,20
442,0,0,263,19
443,0,0,257,17
444,0,0,252,15
445,0,0,246,14
446,0,0,242,13
447,0,0,236,12
448,0,0,231,11
449,0,0,226,11
450,0,0,222,11
451,0,0,219,10
452,0,0,216,8
453,0,0,213,8
454,0,0,211,8
455,0,0,209,8
456,0,0,211,14
457,0,0,206,12
458,0,0,202,12
459,0,0,197,12
460,0,0,191,11
461,0,0,187,11
462,0,0,184,12
463,0,0,181,14
464,0,0,177,17
465,0,0,177,17
466,0,0,177,17
467,0,0,177,17
468,0,0,135,33
469,0,0,129,35
470,0,0,123,38
471,0,0,115,39
472,0,0,110,41
473,0,0,103,43
474,0,0,96,43
475,0,0,91,44
476,0,0,84,43
477,0,0,76,43
478,0,0,70,42
479,0,0,67,43
480,0,0,60,43
481,0,0,52,44
482,0,0,46,45
483,0,0,40,45
484,0,0,36,45
485,0,0,35,45
486,0,0,38,48
487,0,0,40,55
488,0,0,40,60
489,0,0,49,58
490,0,0,47,63
491,0,0,46,67
492,0,0,47,69
493,0,0,49,70
494,0,0,50,72
495,0,0,52,73
496,0,0,52,75
497,0,0,53,78
498,0,0,53,81
499,0,0,52,84
500,0,0,52,87
501,0,0,53,89
502,0,0,53,91
503,0,0,55,93
504,0,0,58,94
505,0,0,60,96
506,0,0,62,95
507,0,0,64,95
508,0,0,65,95
509,0,0,67,97
510,0,0,68,94
511,0,0,70,95
512,0,0,74,99
513,0,0,77,100
514,0,0,80,101
515,0,0,82,101
516,0,0,82,100
517,0,0,84,100
518,0,0,84,99
519,0,0,86,99
520,0,0,89,98
521,0,0,91,98
522,0,0,92,99
523,0,0,93,100
524,0,0,95,100
525,0,0,96,100
526,0,0,96,101
527,0,0,96,100
528,0,0,98,100
529,0,0,98,100
530,0,0,98,99
531,0,0,100,99
532,0,0,102,99
533,0,0,104,98
534,0,0,105,99
535,0,0,106,98
536,0,0,109,97
537,0,0,111,97
538,0,0,113,95
539,0,0,115,94
540,0,0,118,92
541,0,0,121,90
542,0,0,123,88
543,0,0,125,87
544,0,0,128,86
545,0,0,132,84
546,0,0,135,81
547,0,0,139,79
548,0,0,142,78
549,0,0,145,76
550,0,0,149,73
551,0,0,152,72
552,0,0,156,69
553,0,0,159,68
554,0,0,163,65
555,0,0,167,63
556,0,0,171,60
557,0,0,175,58
558,0,0,178,55
559,0,0,181,53
560,0,0,185,51
561,0,0,193,48
562,0,0,195,47
563,0,0,199,45
564,0,0,204,43
565,0,0,208,41
566,0,0,212,39
567,0,0,216,37
568,0,0,220,36
569,0,0,224,34
570,0,0,226,31
571,0,0,230,30
572,0,0,233,29
573,0,0,236,27
574,0,0,239,24
575,0,0,239,23
576,0,0,231,29
577,0,0,230,26
578,0,0,229,26
579,0,0,229,26
580,0,0,229,26
581,0,0,228,28
582,0,0,228,28
583,0,0,228,28
584,0,0,228,28
585,0,0,226,21
586,0,0,224,22
587,0,0,215,20
588,0,0,209,19
589,0,0,204,17
590,0,0,199,17
591,0,0,195,16
592,0,0,190,15
593,0,0,185,14
594,0,0,179,18
595,0,0,175,21
596,0,0,172,23
597,0,0,168,26
598,0,0,165,27
599,0,0,162,27
600,0,0,159,28
601,0,0,156,29
602,0,0,151,30
603,0,0,144,31
604,0,0,138,33
605,0,0,133,34
606,0,0,127,35
607,0,0,121,37
608,0,0,116,37
609,0,0,109,37
610,0,0,103,37
611,0,0,98,37
612,0,0,94,38
613,0,0,92,41
614,0,0,90,46
615,0,0,87,50
616,0,0,84,55
617,0,0,81,60
618,0,0,78,63
619,0,0,76,65
620,0,0,74,69
621,0,0,70,72
622,0,0,66,76
623,0,0,63,78
624,0,0,59,81
625,0,0,55,85
626,0,0,52,86
627,0,0,50,89
628,0,0,48,91
629,0,0,45,92
630,0,0,43,93
631,0,0,40,93
632,0,0,37,93
633,0,0,36,96
634,0,0,35,97
635,0,0,36,99
636,0,0,39,99
637,0,0,39,99
638,0,0,40,99
639,0,0,40,99
640,0,0,40,99
641,0,0,41,99
642,0,0,44,100
643,0,0,44,104
644,0,0,45,106
645,0,0,46,109
646,0,0,46,110
647,0,0,47,110
648,0,0,50,106
649,0,0,51,104
650,0,0,54,102
651,0,0,57,101
652,0,0,58,101
653,0,0,61,101
654,0,0,63,102
655,0,0,66,102
656,0,0,68,101
657,0,0,69,101
658,0,0,69,101
659,0,0,69,101
660,0,0,69,101
661,0,0,69,101
662,0,0,69,101
663,0,0,69,101
664,0,0,69,101
665,0,0,69,101
666,0,0,69,101
667,0,0,69,101
668,0,0,68,101
669,0,0,67,100
670,0,0,66,100
671,0,0,64,100
672,0,0,64,99
673,0,0,64,99
674,0,0,65,99
675,0,0,65,99
676,0,0,65,99
677,0,0,65,99
678,0,0,65,99
679,0,0,65,99
680,0,0,65,99
681,0,0,65,99
682,0,0,64,100
683,0,0,64,101
684,0,0,65,102
685,0,0,64,103
686,0,0,64,104
687,0,0,66,105
688,0,0,67,106
689,0,0,68,106
690,0,0,68,105
691,0,0,68,105
692,0,0,68,105
693,0,0,67,104
694,0,0,67,103
695,0,0,66,101
696,0,0,67,99
697,0,0,61,96
698,0,0,62,94
699,0,0,70,91
700,0,0,70,90
701,0,0,71,90
702,0,0,87,89
703,0,0,91,88
704,0,0,94,87
705,0,0,97,86
706,0,0,101,84
707,0,0,105,84
708,0,0,109,83
709,0,0,113,81
710,0,0,117,80
711,0,0,121,77
712,0,0,125,76
713,0,0,128,75
714,0,0,132,73
715,0,0,137,72
716,0,0,141,71
717,0,0,145,71
718,0,0,149,71
719,0,0,153,71
720,0,0,158,71
721,0,0,163,71
722,0,0,170,71
723,0,0,175,72
724,0,0,180,73
725,0,0,186,73
726,0,0,191,73
727,0,0,196,74
728,0,0,202,74
729,0,0,208,74
730,0,0,214,75
731,0,0,220,73
732,0,0,225,72
733,0,0,229,71
734,0,0,235,69
735,0,0,240,67
736,0,0,246,65
737,0,0,251,63
738,0,0,257,61
739,0,0,263,60
740,0,0,268,57
741,0,0,273,55
742,0,0,277,53
743,0,0,280,51
744,0,0,282,49
745,0,0,283,46
746,0,0,282,40
747,0,0,283,36
748,0,0,285,33
749,0,0,287,33
750,0,0,288,35
751,0,0,290,34
752,0,0,293,33
753,0,0,296,32
754,0,0,300,31
755,0,0,304,29
756,0,0,307,28
757,0,0,311,27
758,0,0,316,25
759,0,0,322,24
760,0,0,326,23
761,0,0,335,25
762,0,0,338,24
763,0,0,340,24
764,0,0,343,23
765,0,0,346,24
766,0,0,348,25
767,0,0,346,28
768,0,0,349,30
769,0,0,347,28
770,0,0,353,31
771,0,0,357,35
772,0,0,374,47
773,0,0,379,53
774,0,0,385,57
775,0,0,390,60
776,0,0,394,62
777,0,0,398,65
778,0,0,401,67
779,0,0,405,69
780,0,0,408,71
781,0,0,410,71
782,0,0,413,72
783,0,0,417,73
784,0,0,424,74
785,0,0,428,75
786,0,0,433,76
787,0,0,438,77
788,0,0,441,77
789,0,0,445,77
790,0,0,451,78
791,0,0,456,80
792,0,0,461,81
793,0,0,466,83
794,0,0,469,85
795,0,0,471,85
796,0,0,474,86
797,0,0,477,86
798,0,0,480,87
799,0,0,485,88
800,0,0,488,90
801,0,0,490,90
802,0,0,495,91
803,0,0,499,92
804,0,0,504,93
805,0,0,508,92
806,0,0,510,90
807,0,0,511,88
808,0,0,513,84
809,0,0,515,83
810,0,0,517,81
811,0,0,520,79
812,0,0,524,77
813,0,0,528,76
814,0,0,531,75
815,0,0,535,74
816,0,0,539,72
817,0,0,543,70
818,0,0,546,68
819,0,0,550,66
820,0,0,551,64
821,0,0,552,62
822,0,0,553,61
823,0,0,553,60
824,0,0,555,58
825,0,0,556,56
826,0,0,557,53
827,0,0,557,50
828,0,0,558,48
829,0,0,560,45
830,0,0,562,43
831,0,0,564,40
832,0,0,565,38
833,0,0,567,34
834,0,0,566,31
835,0,0,566,28
836,0,0,565,25
837,0,0,563,22
838,0,0,562,19
839,0,0,562,17
840,0,0,562,18
841,0,0,562,18
842,0,0,562,18
843,0,0,562,18
844,0,0,562,18
845,0,0,564,20
846,0,0,567,19
847,0,0,569,18
848,0,0,573,16
849,0,0,577,13
850,0,0,581,12
851,0,0,585,12
852,0,0,590,12
853,0,0,595,12
854,0,0,598,13
855,0,0,600,14
856,0,0,603,14
857,0,0,607,12
858,0,0,611,12
859,0,0,614,14
860,0,0,619,15
861,0,0,625,17
862,0,0,630,18
863,0,0,635,18
864,0,0,640,17
865,0,0,643,18
866,0,0,647,19
867,0,0,651,19
868,0,0,657,20
869,0,0,662,22
870,0,0,667,23
871,0,0,672,22
872,0,0,673,20
873,0,0,672,19
874,0,0,674,15
875,0,0,677,11
876,0,0,668,16
877,0,0,668,17
878,0,0,667,17
879,0,0,665,18
880,0,0,663,18
881,0,0,662,19
882,0,0,662,19
883,0,0,663,18
884,0,0,664,20
885,0,0,667,24
886,0,0,669,28
887,0,0,672,31
888,0,0,676,35
889,0,0,680,38
890,0,0,683,42
891,0,0,686,44
892,0,0,688,46
893,0,0,691,48
894,0,0,694,50
895,0,0,697,52
896,0,0,698,54
897,0,0,708,65
898,0,0,711,67
899,0,0,714,69
900,0,0,718,70
901,0,0,722,72
902,0,0,728,73
903,0,0,732,73
904,0,0,736,72
905,0,0,740,71
906,0,0,746,71
907,0,0,750,70
908,0,0,753,69
909,0,0,755,70
910,0,0,755,70
911,0,0,755,70
912,0,0,754,70
913,0,0,754,70
914,0,0,750,71
915,0,0,741,63
916,0,0,741,64
917,0,0,742,65
918,0,0,741,66
919,0,0,741,67
920,0,0,741,67
921,0,0,740,65
922,0,0,740,64
923,0,0,740,64
924,0,0,741,65
925,0,0,744,73
926,0,0,743,73
927,0,0,742,74
928,0,0,742,74
929,0,0,742,74
930,0,0,742,74
931,0,0,742,74
932,0,0,741,74
933,0,0,741,74
934,0,0,740,74
935,0,0,740,74
936,0,0,739,75
937,0,0,735,80
938,0,0,732,85
939,0,0,729,89
940,0,0,731,86
941,0,0,731,92
942,0,0,733,98
943,0,0,734,103
944,0,0,735,105
945,0,0,737,110
946,0,0,739,115
947,0,0,741,122
948,0,0,744,127
949,0,0,746,135
950,0,0,751,144
951,0,0,755,147
952,0,0,759,150
953,0,0,761,150
954,0,0,764,152
955,0,0,767,154
956,0,0,771,155
957,0,0,771,155
958,0,0,771,155
959,0,0,771,155
960,0,0,771,155
961,0,0,771,155
962,0,0,771,155
963,0,0,771,155
964,0,0,771,155
965,0,0,771,155
966,0,0,771,155
967,0,0,771,155
968,0,0,771,155
969,0,0,771,155
970,0,0,771,155
971,0,0,771,155
972,0,0,771,155
973,0,0,771,155
974,0,0,771,155
975,0,0,771,155
976,0,0,771,155
977,0,0,771,155
978,0,0,771,155
979,0,0,771,155
980,0,0,771,155
