frame_idx,led_1_status,led_2_status,0_x,0_y
46,0,0,641,151
47,0,0,640,141
48,0,0,639,131
49,0,0,638,119
50,0,0,636,109
51,0,0,634,99
52,0,0,633,88
53,0,0,631,78
54,0,0,630,68
55,0,0,630,58
56,0,0,629,48
57,0,0,628,39
58,0,0,627,30
59,0,0,624,20
60,0,0,622,13
61,0,0,619,7
62,0,0,617,5
63,0,0,618,4
64,0,0,624,7
65,0,0,630,9
66,0,0,634,12
67,0,0,638,14
68,0,0,642,15
69,0,0,645,16
70,0,0,648,22
71,0,0,652,27
72,0,0,658,31
73,0,0,663,34
74,0,0,667,36
75,0,0,671,38
76,0,0,674,39
77,0,0,677,40
78,0,0,679,41
79,0,0,680,42
80,0,0,680,43
81,0,0,680,43
82,0,0,681,43
83,0,0,680,43
84,0,0,680,43
85,0,0,680,43
86,0,0,680,44
87,0,0,680,44
88,0,0,680,43
89,0,0,680,48
90,0,0,680,48
91,0,0,680,48
92,0,0,680,48
93,0,0,680,48
94,0,0,680,48
95,0,0,680,48
96,0,0,680,48
97,0,0,680,48
98,0,0,681,48
99,0,0,685,49
100,0,0,688,50
101,0,0,692,51
102,0,0,697,53
103,0,0,703,54
104,0,0,711,56
105,0,0,719,57
106,0,0,727,60
107,0,0,736,63
108,0,0,744,67
109,0,0,751,70
110,0,0,755,72
111,0,0,756,72
112,0,0,756,72
113,0,0,756,72
114,0,0,756,72
115,0,0,756,72
116,0,0,755,70
117,0,0,749,66
118,0,0,743,63
119,0,0,741,59
120,0,0,739,53
121,0,0,736,48
122,0,0,734,46
123,0,0,733,56
124,0,0,728,50
125,0,0,720,45
126,0,0,711,41
127,0,0,703,37
128,0,0,694,33
129,0,0,685,28
130,0,0,677,24
131,0,0,669,23
132,0,0,662,23
133,0,0,656,26
134,0,0,650,31
135,0,0,644,36
136,0,0,631,42
137,0,0,627,48
138,0,0,627,52
139,0,0,624,53
140,0,0,625,60
141,0,0,626,67
142,0,0,627,73
143,0,0,627,80
144,0,0,627,88
145,0,0,628,95
146,0,0,628,103
147,0,0,628,112
148,0,0,628,120
149,0,0,629,128
150,0,0,628,136
151,0,0,628,146
152,0,0,627,156
153,0,0,625,164
154,0,0,625,171
155,0,0,624,176
156,0,0,624,181
157,0,0,625,186
158,0,0,625,192
159,0,0,627,197
160,0,0,628,202
161,0,0,628,207
162,0,0,628,212
163,0,0,626,216
164,0,0,626,216
165,0,0,626,216
166,0,0,626,216
167,0,0,626,216
168,0,0,626,216
169,0,0,626,216
170,0,0,626,216
171,0,0,626,216
172,0,0,626,216
173,0,0,626,216
174,0,0,626,216
175,0,0,626,216
176,0,0,626,216
177,0,0,626,216
178,0,0,626,216
179,0,0,626,216
180,0,0,626,216
181,0,0,626,216
182,0,0,626,216
183,0,0,626,216
184,0,0,626,216
185,0,0,626,216
186,0,0,626,216
187,0,0,626,216
188,0,0,626,216
189,0,0,626,216
190,0,0,626,216
191,0,0,626,216
192,0,0,626,216
193,0,0,626,216
194,0,0,626,216
195,0,0,626,216
196,0,0,350,38
197,0,0,339,36
198,0,0,328,35
199,0,0,317,36
200,0,0,307,39
201,0,0,296,42
202,0,0,286,45
203,0,0,275,49
204,0,0,265,51
205,0,0,253,53
206,0,0,243,56
207,0,0,231,59
208,0,0,221,62
209,0,0,210,64
210,0,0,199,67
211,0,0,188,69
212,0,0,176,71
213,0,0,166,73
214,0,0,156,75
215,0,0,146,75
216,0,0,137,75
217,0,0,126,73
218,0,0,115,72
219,0,0,106,68
220,0,0,98,66
221,0,0,90,64
222,0,0,81,63
223,0,0,73,61
224,0,0,64,59
225,0,0,56,59
226,0,0,49,58
227,0,0,46,58
228,0,0,44,57
229,0,0,44,57
230,0,0,44,57
231,0,0,44,57
232,0,0,44,57
233,0,0,44,57
234,0,0,44,58
235,0,0,44,58
236,0,0,44,58
237,0,0,44,58
238,0,0,44,58
239,0,0,44,58
240,0,0,44,58
241,0,0,44,58
242,0,0,44,58
243,0,0,44,58
244,0,0,44,58
245,0,0,14,96
246,0,0,18,91
247,0,0,20,89
248,0,0,21,88
249,0,0,22,88
250,0,0,28,91
251,0,0,28,91
252,0,0,28,91
253,0,0,28,91
254,0,0,28,91
255,0,0,28,91
256,0,0,28,91
257,0,0,28,91
258,0,0,28,91
259,0,0,28,91
260,0,0,28,91
261,0,0,28,91
262,0,0,28,91
263,0,0,98,35
264,0,0,97,34
265,0,0,91,31
266,0,0,85,25
267,0,0,84,20
268,0,0,86,28
269,0,0,86,33
270,0,0,81,44
271,0,0,84,45
272,0,0,88,46
273,0,0,93,48
274,0,0,99,52
275,0,0,103,59
276,0,0,110,59
277,0,0,113,64
278,0,0,115,68
279,0,0,119,73
280,0,0,122,78
281,0,0,124,83
282,0,0,128,89
283,0,0,130,93
284,0,0,133,98
285,0,0,137,105
286,0,0,138,109
287,0,0,139,112
288,0,0,139,113
289,0,0,138,113
290,0,0,137,113
291,0,0,141,118
292,0,0,142,118
293,0,0,142,118
294,0,0,141,118
295,0,0,141,117
296,0,0,142,117
297,0,0,142,118
298,0,0,142,118
299,0,0,141,117
300,0,0,142,117
301,0,0,142,117
302,0,0,142,117
303,0,0,142,117
304,0,0,142,117
305,0,0,142,117
306,0,0,142,117
307,0,0,142,117
308,0,0,142,117
309,0,0,142,117
310,0,0,142,117
311,0,0,142,117
312,0,0,141,117
313,0,0,142,116
314,0,0,142,116
315,0,0,142,116
316,0,0,142,117
317,0,0,141,118
318,0,0,141,118
319,0,0,141,118
320,0,0,141,118
321,0,0,140,118
322,0,0,140,119
323,0,0,140,119
324,0,0,141,119
325,0,0,141,118
326,0,0,141,118
327,0,0,141,118
328,0,0,141,118
329,0,0,140,119
330,0,0,140,119
331,0,0,141,119
332,0,0,141,119
333,0,0,141,119
334,0,0,141,119
335,0,0,141,119
336,0,0,137,115
337,0,0,137,115
338,0,0,137,116
339,0,0,137,116
340,0,0,137,115
341,0,0,137,115
342,0,0,137,115
343,0,0,137,115
344,0,0,137,116
345,0,0,137,116
346,0,0,137,116
347,0,0,137,116
348,0,0,137,116
349,0,0,137,116
350,0,0,137,116
351,0,0,137,116
352,0,0,137,116
353,0,0,137,116
354,0,0,137,116
355,0,0,137,116
356,0,0,137,116
357,0,0,137,116
358,0,0,137,116
359,0,0,137,116
360,0,0,138,116
361,0,0,139,117
362,0,0,139,119
363,0,0,141,123
364,0,0,146,130
365,0,0,143,136
366,0,0,142,143
367,0,0,140,149
368,0,0,139,156
369,0,0,138,163
370,0,0,138,168
371,0,0,138,174
372,0,0,138,180
373,0,0,138,184
374,0,0,138,187
375,0,0,138,191
376,0,0,139,192
377,0,0,139,192
378,0,0,139,193
379,0,0,139,193
380,0,0,139,193
381,0,0,139,194
382,0,0,139,194
383,0,0,139,194
384,0,0,139,194
385,0,0,140,194
386,0,0,139,194
387,0,0,139,194
388,0,0,139,194
389,0,0,139,194
390,0,0,140,194
391,0,0,140,194
392,0,0,140,194
393,0,0,140,194
394,0,0,140,194
395,0,0,140,194
396,0,0,140,194
397,0,0,140,194
398,0,0,139,194
399,0,0,140,194
400,0,0,140,194
401,0,0,139,194
402,0,0,139,194
403,0,0,140,194
404,0,0,140,194
405,0,0,140,194
406,0,0,140,194
407,0,0,140,194
408,0,0,140,194
409,0,0,140,194
410,0,0,140,194
411,0,0,140,194
412,0,0,140,194
413,0,0,140,194
414,0,0,140,194
