frame_idx,led_1_status,led_2_status,0_x,0_y
38,0,0,572,153
39,0,0,566,148
40,0,0,559,144
41,0,0,554,140
42,0,0,548,136
43,0,0,541,130
44,0,0,533,124
45,0,0,525,118
46,0,0,518,114
47,0,0,510,109
48,0,0,505,105
49,0,0,499,101
50,0,0,492,96
51,0,0,488,93
52,0,0,483,90
53,0,0,477,86
54,0,0,473,82
55,0,0,468,78
56,0,0,461,73
57,0,0,455,70
58,0,0,448,64
59,0,0,444,61
60,0,0,439,57
61,0,0,432,53
62,0,0,427,49
63,0,0,422,44
64,0,0,414,37
65,0,0,410,32
66,0,0,406,28
67,0,0,404,25
68,0,0,404,25
69,0,0,404,25
70,0,0,404,25
71,0,0,404,25
72,0,0,408,26
73,0,0,411,26
74,0,0,416,27
75,0,0,418,25
76,0,0,418,24
77,0,0,418,21
78,0,0,417,17
79,0,0,418,13
80,0,0,418,13
81,0,0,418,13
82,0,0,418,13
83,0,0,423,20
84,0,0,428,21
85,0,0,430,21
86,0,0,431,23
87,0,0,432,23
88,0,0,432,23
89,0,0,428,34
90,0,0,434,32
91,0,0,440,28
92,0,0,448,25
93,0,0,455,22
94,0,0,462,19
95,0,0,469,14
96,0,0,475,12
97,0,0,478,13
98,0,0,478,13
99,0,0,478,13
100,0,0,478,13
101,0,0,478,13
102,0,0,475,13
103,0,0,469,20
104,0,0,468,20
105,0,0,467,20
106,0,0,467,21
107,0,0,466,21
108,0,0,472,13
109,0,0,473,19
110,0,0,477,21
111,0,0,482,26
112,0,0,486,30
113,0,0,490,32
114,0,0,495,34
115,0,0,501,37
116,0,0,508,40
117,0,0,515,42
118,0,0,525,46
119,0,0,535,48
120,0,0,543,52
121,0,0,552,54
122,0,0,561,57
123,0,0,568,59
124,0,0,577,62
125,0,0,583,65
126,0,0,591,68
127,0,0,600,71
128,0,0,607,75
129,0,0,615,77
130,0,0,624,80
131,0,0,637,83
132,0,0,650,89
133,0,0,663,93
134,0,0,675,98
135,0,0,689,102
136,0,0,702,108
137,0,0,715,113
138,0,0,726,120
139,0,0,739,125
140,0,0,749,130
141,0,0,756,134
142,0,0,752,138
143,0,0,757,148
144,0,0,758,157
145,0,0,756,164
146,0,0,757,171
147,0,0,757,171
148,0,0,757,171
149,0,0,757,171
150,0,0,757,171
151,0,0,757,171
152,0,0,757,171
153,0,0,757,171
154,0,0,757,171
155,0,0,760,226
156,0,0,760,226
157,0,0,760,226
158,0,0,760,226
159,0,0,760,226
160,0,0,760,226
161,0,0,760,226
162,0,0,760,226
163,0,0,760,226
164,0,0,760,226
165,0,0,760,226
166,0,0,760,226
167,0,0,760,226
168,0,0,760,226
169,0,0,760,226
170,0,0,760,226
171,0,0,760,226
172,0,0,760,226
173,0,0,760,226
174,0,0,760,226
175,0,0,760,226
176,0,0,760,226
177,0,0,760,226
178,0,0,760,226
179,0,0,760,226
180,0,0,760,226
181,0,0,760,226
182,0,0,760,226
183,0,0,760,226
184,0,0,760,226
185,0,0,760,226
186,0,0,760,226
187,0,0,760,226
188,0,0,760,226
189,0,0,760,226
190,0,0,760,226
191,0,0,760,226
192,0,0,628,138
193,0,0,622,129
194,0,0,612,121
195,0,0,602,113
196,0,0,592,107
197,0,0,581,99
198,0,0,570,91
199,0,0,561,82
200,0,0,552,75
201,0,0,544,68
202,0,0,538,62
203,0,0,530,54
204,0,0,525,48
205,0,0,515,39
206,0,0,508,32
207,0,0,498,26
208,0,0,491,21
209,0,0,485,16
210,0,0,478,13
211,0,0,478,12
212,0,0,478,12
213,0,0,478,12
214,0,0,478,12
215,0,0,489,10
216,0,0,489,10
217,0,0,489,10
218,0,0,489,10
219,0,0,489,10
220,0,0,489,10
221,0,0,489,10
222,0,0,489,10
223,0,0,489,10
224,0,0,489,10
225,0,0,489,10
226,0,0,505,3
227,0,0,507,11
228,0,0,506,30
229,0,0,512,28
230,0,0,518,26
231,0,0,524,23
232,0,0,526,23
233,0,0,526,23
234,0,0,526,23
235,0,0,526,23
236,0,0,526,24
237,0,0,526,24
238,0,0,526,25
239,0,0,527,25
240,0,0,527,25
241,0,0,527,24
242,0,0,532,23
243,0,0,538,24
244,0,0,538,24
245,0,0,538,24
246,0,0,580,20
247,0,0,588,20
248,0,0,594,21
249,0,0,602,21
250,0,0,611,21
251,0,0,619,22
252,0,0,627,22
253,0,0,635,23
254,0,0,644,24
255,0,0,656,27
256,0,0,667,30
257,0,0,678,32
258,0,0,689,34
259,0,0,701,35
260,0,0,713,36
261,0,0,724,36
262,0,0,735,37
263,0,0,743,38
264,0,0,748,38
265,0,0,752,38
266,0,0,752,38
267,0,0,752,38
268,0,0,752,38
269,0,0,752,38
270,0,0,752,38
271,0,0,754,40
272,0,0,762,41
273,0,0,764,40
274,0,0,767,40
275,0,0,768,36
276,0,0,768,36
277,0,0,768,36
278,0,0,768,36
279,0,0,768,36
280,0,0,768,36
281,0,0,768,36
282,0,0,768,36
283,0,0,764,9
284,0,0,764,9
285,0,0,764,9
286,0,0,764,9
287,0,0,764,9
288,0,0,761,8
289,0,0,761,8
290,0,0,761,8
291,0,0,761,8
292,0,0,761,8
293,0,0,761,8
294,0,0,761,8
295,0,0,761,8
296,0,0,761,8
297,0,0,761,8
298,0,0,761,8
299,0,0,761,8
300,0,0,761,8
301,0,0,761,8
302,0,0,761,8
303,0,0,761,8
304,0,0,761,8
305,0,0,761,8
306,0,0,761,8
307,0,0,761,8
308,0,0,761,8
309,0,0,761,8
310,0,0,761,8
311,0,0,761,8
312,0,0,761,8
313,0,0,761,8
314,0,0,761,8
315,0,0,761,8
316,0,0,761,8
317,0,0,761,8
318,0,0,761,8
319,0,0,761,8
320,0,0,761,8
321,0,0,761,8
322,0,0,761,8
323,0,0,761,8
324,0,0,761,8
325,0,0,761,8
326,0,0,761,8
327,0,0,761,8
328,0,0,761,8
329,0,0,761,8
330,0,0,761,8
331,0,0,761,8
332,0,0,761,8
333,0,0,761,8
334,0,0,761,8
335,0,0,761,8
336,0,0,761,8
337,0,0,761,8
338,0,0,761,8
339,0,0,761,8
340,0,0,761,8
341,0,0,761,8
342,0,0,761,8
343,0,0,761,8
344,0,0,761,8
345,0,0,761,8
346,0,0,761,8
347,0,0,761,8
348,0,0,761,8
349,0,0,761,8
350,0,0,761,8
351,0,0,761,8
352,0,0,761,8
353,0,0,761,8
354,0,0,739,190
355,0,0,738,189
356,0,0,733,183
357,0,0,723,177
358,0,0,710,170
359,0,0,701,164
360,0,0,688,158
361,0,0,682,155
362,0,0,672,152
363,0,0,666,149
364,0,0,663,148
365,0,0,663,148
366,0,0,663,148
367,0,0,663,148
368,0,0,662,148
369,0,0,655,149
370,0,0,647,148
371,0,0,636,148
372,0,0,625,147
373,0,0,615,147
374,0,0,602,146
375,0,0,590,148
376,0,0,577,150
377,0,0,564,151
378,0,0,550,152
379,0,0,536,154
380,0,0,523,156
381,0,0,509,161
382,0,0,496,163
383,0,0,483,166
384,0,0,472,166
385,0,0,459,169
386,0,0,449,170
387,0,0,438,172
388,0,0,427,173
389,0,0,414,177
390,0,0,403,178
391,0,0,391,181
392,0,0,380,183
393,0,0,367,187
394,0,0,356,190
395,0,0,343,195
396,0,0,332,197
397,0,0,320,201
398,0,0,308,203
399,0,0,295,206
400,0,0,282,206
401,0,0,269,209
402,0,0,259,210
403,0,0,247,212
404,0,0,235,214
405,0,0,223,217
406,0,0,209,218
407,0,0,198,220
408,0,0,186,221
409,0,0,176,222
410,0,0,164,223
411,0,0,155,222
412,0,0,144,219
413,0,0,136,214
414,0,0,126,211
415,0,0,117,208
416,0,0,107,206
417,0,0,96,202
418,0,0,86,199
419,0,0,74,196
420,0,0,64,193
421,0,0,52,190
422,0,0,43,186
423,0,0,31,182
424,0,0,24,178
425,0,0,17,175
426,0,0,11,172
427,0,0,11,171
428,0,0,11,171
429,0,0,21,170
430,0,0,21,170
431,0,0,21,170
432,0,0,21,170
433,0,0,21,170
434,0,0,21,170
435,0,0,21,170
436,0,0,21,170
437,0,0,21,170
438,0,0,21,170
439,0,0,21,170
440,0,0,21,170
441,0,0,21,170
442,0,0,21,170
443,0,0,21,170
444,0,0,21,170
445,0,0,21,41
446,0,0,21,41
447,0,0,21,41
448,0,0,21,35
449,0,0,22,28
450,0,0,27,34
451,0,0,28,32
452,0,0,31,41
453,0,0,33,41
454,0,0,35,40
455,0,0,37,39
456,0,0,40,37
457,0,0,43,35
458,0,0,51,19
459,0,0,51,19
460,0,0,51,19
461,0,0,51,19
462,0,0,51,19
463,0,0,51,19
464,0,0,52,18
465,0,0,53,18
466,0,0,56,17
467,0,0,57,16
468,0,0,57,16
469,0,0,57,16
470,0,0,57,16
471,0,0,57,17
472,0,0,56,18
473,0,0,51,18
474,0,0,47,16
475,0,0,43,14
476,0,0,41,13
477,0,0,39,12
478,0,0,40,10
479,0,0,46,17
480,0,0,51,21
481,0,0,53,29
482,0,0,56,25
483,0,0,60,25
484,0,0,66,26
485,0,0,74,24
486,0,0,87,21
487,0,0,93,22
488,0,0,100,20
489,0,0,107,19
490,0,0,113,20
491,0,0,122,18
492,0,0,129,17
493,0,0,134,16
494,0,0,142,14
495,0,0,150,14
496,0,0,156,13
497,0,0,161,12
498,0,0,164,12
499,0,0,168,13
500,0,0,173,13
501,0,0,181,13
502,0,0,187,15
503,0,0,195,15
504,0,0,204,15
505,0,0,211,15
506,0,0,220,14
507,0,0,228,15
508,0,0,235,13
509,0,0,241,13
510,0,0,245,13
511,0,0,248,14
512,0,0,248,14
513,0,0,248,14
514,0,0,248,14
515,0,0,249,15
516,0,0,254,15
517,0,0,261,16
518,0,0,269,15
519,0,0,279,15
520,0,0,289,15
521,0,0,301,15
522,0,0,311,14
523,0,0,320,13
524,0,0,327,13
525,0,0,336,10
526,0,0,344,11
527,0,0,350,11
528,0,0,357,13
529,0,0,362,17
530,0,0,372,19
531,0,0,380,23
532,0,0,388,25
533,0,0,396,28
534,0,0,403,30
535,0,0,413,32
536,0,0,420,34
537,0,0,429,35
538,0,0,436,37
539,0,0,442,38
540,0,0,449,39
541,0,0,455,41
542,0,0,461,42
543,0,0,468,42
544,0,0,470,43
545,0,0,470,43
546,0,0,470,44
547,0,0,474,45
548,0,0,483,44
549,0,0,492,44
550,0,0,503,44
551,0,0,513,45
552,0,0,522,45
553,0,0,532,46
554,0,0,538,48
555,0,0,547,49
556,0,0,552,52
557,0,0,558,55
558,0,0,566,60
559,0,0,570,66
560,0,0,577,70
561,0,0,584,76
562,0,0,593,80
563,0,0,601,86
564,0,0,606,90
565,0,0,616,95
566,0,0,622,101
567,0,0,634,105
568,0,0,643,112
569,0,0,654,117
570,0,0,664,125
571,0,0,675,130
572,0,0,686,136
573,0,0,695,140
574,0,0,700,148
575,0,0,709,154
576,0,0,719,161
577,0,0,723,167
578,0,0,733,174
579,0,0,737,181
580,0,0,743,186
581,0,0,749,193
582,0,0,752,196
583,0,0,753,203
584,0,0,747,211
585,0,0,748,219
586,0,0,747,219
587,0,0,747,216
588,0,0,741,213
589,0,0,743,212
590,0,0,744,212
591,0,0,746,211
592,0,0,745,211
593,0,0,746,211
594,0,0,745,211
595,0,0,745,211
596,0,0,745,211
597,0,0,745,211
598,0,0,745,211
599,0,0,745,211
600,0,0,745,211
601,0,0,745,211
602,0,0,745,211
603,0,0,745,211
604,0,0,745,211
605,0,0,745,211
606,0,0,745,211
607,0,0,745,211
608,0,0,745,211
609,0,0,745,211
610,0,0,745,211
611,0,0,745,211
612,0,0,746,211
613,0,0,746,212
614,0,0,749,212
615,0,0,751,213
616,0,0,751,213
617,0,0,751,213
618,0,0,750,213
619,0,0,752,209
620,0,0,751,202
621,0,0,751,202
622,0,0,751,202
623,0,0,751,202
624,0,0,751,202
625,0,0,751,202
626,0,0,751,202
627,0,0,751,202
628,0,0,751,202
629,0,0,751,202
630,0,0,751,202
631,0,0,751,202
632,0,0,751,202
633,0,0,751,202
634,0,0,751,202
635,0,0,751,202
636,0,0,751,202
637,0,0,751,202
638,0,0,751,202
639,0,0,751,202
640,0,0,751,202
641,0,0,751,202
642,0,0,751,202
643,0,0,751,202
644,0,0,741,8
645,0,0,731,9
646,0,0,721,8
647,0,0,715,5
648,0,0,707,4
649,0,0,707,4
650,0,0,707,4
651,0,0,707,4
652,0,0,707,4
653,0,0,707,4
654,0,0,707,4
655,0,0,707,4
656,0,0,707,4
657,0,0,707,4
658,0,0,707,4
659,0,0,707,4
660,0,0,707,4
661,0,0,731,16
662,0,0,734,16
663,0,0,742,18
664,0,0,748,22
665,0,0,755,31
666,0,0,768,39
667,0,0,768,39
668,0,0,768,39
669,0,0,768,39
670,0,0,768,39
671,0,0,768,39
672,0,0,768,39
673,0,0,768,39
674,0,0,768,39
675,0,0,768,39
676,0,0,768,39
677,0,0,768,39
678,0,0,768,39
679,0,0,768,39
680,0,0,768,39
681,0,0,768,39
682,0,0,768,39
683,0,0,768,39
684,0,0,768,39
685,0,0,768,39
686,0,0,768,39
687,0,0,768,39
688,0,0,768,39
689,0,0,768,39
690,0,0,768,39
691,0,0,768,39
692,0,0,757,235
693,0,0,757,235
694,0,0,757,235
695,0,0,757,235
696,0,0,757,235
697,0,0,757,235
698,0,0,757,235
699,0,0,757,235
700,0,0,757,235
701,0,0,757,235
702,0,0,757,235
703,0,0,757,235
704,0,0,757,235
705,0,0,757,235
706,0,0,757,235
707,0,0,757,235
708,0,0,757,235
709,0,0,757,235
710,0,0,757,235
711,0,0,757,235
712,0,0,757,235
713,0,0,757,235
714,0,0,757,235
715,0,0,757,235
716,0,0,757,235
717,0,0,757,235
718,0,0,757,235
719,0,0,757,235
720,0,0,757,235
721,0,0,757,235
722,0,0,757,235
723,0,0,757,235
724,0,0,757,235
725,0,0,757,235
726,0,0,757,235
727,0,0,757,235
728,0,0,757,235
729,0,0,757,235
730,0,0,757,235
731,0,0,757,235
732,0,0,757,235
733,0,0,534,215
734,0,0,520,212
735,0,0,507,208
736,0,0,492,204
737,0,0,481,199
738,0,0,467,194
739,0,0,456,190
740,0,0,443,187
741,0,0,431,182
742,0,0,420,179
743,0,0,409,175
744,0,0,399,173
745,0,0,386,169
746,0,0,376,166
747,0,0,362,163
748,0,0,352,161
749,0,0,338,158
750,0,0,328,156
751,0,0,316,155
752,0,0,304,153
753,0,0,292,152
754,0,0,280,151
755,0,0,271,150
756,0,0,259,150
757,0,0,250,149
758,0,0,239,149
759,0,0,230,147
760,0,0,221,146
761,0,0,211,145
762,0,0,203,145
763,0,0,193,144
764,0,0,183,143
765,0,0,171,143
766,0,0,163,143
767,0,0,154,144
768,0,0,144,144
769,0,0,136,144
770,0,0,125,145
771,0,0,116,143
772,0,0,105,144
773,0,0,97,143
774,0,0,87,144
775,0,0,76,143
776,0,0,64,143
777,0,0,53,143
778,0,0,42,142
779,0,0,30,141
780,0,0,25,139
781,0,0,23,139
782,0,0,23,139
783,0,0,23,139
784,0,0,23,139
785,0,0,23,139
786,0,0,23,139
787,0,0,23,139
788,0,0,23,138
789,0,0,18,135
790,0,0,10,129
791,0,0,6,122
792,0,0,14,113
793,0,0,21,106
794,0,0,28,101
795,0,0,30,95
796,0,0,32,91
797,0,0,34,87
798,0,0,35,86
799,0,0,35,86
