frame_idx,led_1_status,led_2_status,0_x,0_y
15,0,0,21,60
16,0,0,18,57
17,0,0,14,52
18,0,0,11,46
19,0,0,10,42
20,0,0,11,37
21,0,0,12,34
22,0,0,12,31
23,0,0,12,27
24,0,0,14,23
25,0,0,15,19
26,0,0,14,18
27,0,0,13,16
28,0,0,14,13
29,0,0,14,9
30,0,0,12,8
31,0,0,12,8
32,0,0,13,8
33,0,0,17,9
34,0,0,21,9
35,0,0,24,8
36,0,0,27,6
37,0,0,30,4
38,0,0,33,1
39,0,0,33,0
40,0,0,33,0
41,0,0,33,0
42,0,0,33,0
43,0,0,33,0
44,0,0,33,0
45,0,0,33,0
46,0,0,33,0
47,0,0,15,22
48,0,0,13,24
49,0,0,12,26
50,0,0,11,26
51,0,0,11,26
52,0,0,12,27
53,0,0,12,27
54,0,0,12,27
55,0,0,12,27
56,0,0,12,27
57,0,0,12,27
58,0,0,12,27
59,0,0,12,27
60,0,0,39,24
61,0,0,42,22
62,0,0,43,20
63,0,0,38,31
64,0,0,38,31
65,0,0,38,31
66,0,0,38,31
67,0,0,38,31
68,0,0,38,31
69,0,0,38,31
70,0,0,38,31
71,0,0,37,31
72,0,0,37,32
73,0,0,37,32
74,0,0,37,32
75,0,0,37,32
76,0,0,37,32
77,0,0,37,32
78,0,0,37,32
79,0,0,37,32
80,0,0,37,32
81,0,0,37,32
82,0,0,37,32
83,0,0,37,32
84,0,0,37,32
85,0,0,37,32
86,0,0,36,30
87,0,0,36,30
88,0,0,36,30
89,0,0,36,30
90,0,0,36,30
91,0,0,36,31
92,0,0,36,32
93,0,0,36,32
94,0,0,37,33
95,0,0,38,34
96,0,0,39,33
97,0,0,40,33
98,0,0,41,33
99,0,0,42,33
100,0,0,42,33
101,0,0,42,33
102,0,0,42,33
103,0,0,42,33
104,0,0,42,33
105,0,0,41,33
106,0,0,41,34
107,0,0,41,34
108,0,0,41,34
109,0,0,41,34
110,0,0,41,34
111,0,0,41,34
112,0,0,41,34
113,0,0,40,34
114,0,0,40,34
115,0,0,40,35
116,0,0,40,35
117,0,0,40,36
118,0,0,40,35
119,0,0,39,35
120,0,0,39,36
121,0,0,39,36
122,0,0,39,36
123,0,0,39,37
124,0,0,39,37
125,0,0,40,40
126,0,0,41,40
127,0,0,42,41
128,0,0,42,41
129,0,0,42,41
130,0,0,42,41
131,0,0,42,41
132,0,0,42,41
133,0,0,42,41
134,0,0,42,41
135,0,0,42,41
136,0,0,42,41
137,0,0,42,41
138,0,0,42,41
139,0,0,42,41
140,0,0,42,41
141,0,0,42,40
142,0,0,41,40
143,0,0,41,40
144,0,0,41,41
145,0,0,40,41
146,0,0,40,41
147,0,0,39,41
148,0,0,39,41
149,0,0,38,41
150,0,0,38,42
151,0,0,36,42
152,0,0,35,42
153,0,0,34,42
154,0,0,33,42
155,0,0,31,43
156,0,0,30,44
157,0,0,29,44
158,0,0,29,45
159,0,0,28,46
160,0,0,28,47
161,0,0,28,48
162,0,0,27,49
163,0,0,26,50
164,0,0,22,52
165,0,0,22,52
166,0,0,22,53
167,0,0,22,54
168,0,0,20,58
169,0,0,19,61
170,0,0,18,64
171,0,0,17,66
172,0,0,15,70
173,0,0,14,74
174,0,0,14,76
175,0,0,14,78
176,0,0,15,81
177,0,0,17,83
178,0,0,18,84
179,0,0,20,85
180,0,0,21,87
181,0,0,21,89
182,0,0,22,91
183,0,0,22,93
184,0,0,22,94
185,0,0,21,98
186,0,0,20,100
187,0,0,19,101
188,0,0,17,103
189,0,0,14,105
190,0,0,11,107
191,0,0,10,110
192,0,0,9,112
193,0,0,9,115
194,0,0,10,118
195,0,0,10,120
196,0,0,10,123
197,0,0,11,125
198,0,0,12,128
199,0,0,14,130
200,0,0,15,132
201,0,0,16,136
202,0,0,16,139
203,0,0,17,142
204,0,0,17,145
205,0,0,17,149
206,0,0,17,152
207,0,0,18,155
208,0,0,17,158
209,0,0,17,160
210,0,0,16,161
211,0,0,16,161
212,0,0,16,161
213,0,0,16,161
214,0,0,16,161
215,0,0,17,161
216,0,0,17,161
217,0,0,17,161
218,0,0,17,161
219,0,0,17,161
220,0,0,17,161
221,0,0,17,161
222,0,0,17,161
223,0,0,17,161
224,0,0,17,161
225,0,0,17,161
226,0,0,17,161
227,0,0,17,161
228,0,0,17,161
229,0,0,17,161
230,0,0,17,161
231,0,0,17,161
232,0,0,17,161
233,0,0,17,160
234,0,0,17,160
235,0,0,17,160
236,0,0,17,160
237,0,0,17,160
238,0,0,17,160
239,0,0,17,160
240,0,0,17,160
241,0,0,17,160
242,0,0,17,160
243,0,0,17,160
244,0,0,17,160
245,0,0,17,160
246,0,0,17,160
247,0,0,17,160
248,0,0,17,160
249,0,0,17,160
250,0,0,17,160
251,0,0,17,160
252,0,0,18,159
253,0,0,19,159
254,0,0,20,158
255,0,0,20,159
256,0,0,21,158
257,0,0,26,163
258,0,0,26,161
259,0,0,24,160
260,0,0,24,158
261,0,0,23,158
262,0,0,23,158
263,0,0,26,148
264,0,0,25,146
265,0,0,25,143
266,0,0,25,140
267,0,0,27,137
268,0,0,27,134
269,0,0,27,132
270,0,0,27,128
271,0,0,27,124
272,0,0,26,122
273,0,0,23,119
274,0,0,21,116
275,0,0,19,113
276,0,0,17,109
277,0,0,16,105
278,0,0,17,102
279,0,0,18,99
280,0,0,19,93
281,0,0,20,88
282,0,0,22,82
283,0,0,23,75
284,0,0,24,69
285,0,0,25,64
286,0,0,26,56
287,0,0,27,50
288,0,0,28,44
289,0,0,29,38
290,0,0,31,33
291,0,0,33,29
292,0,0,35,27
293,0,0,34,27
294,0,0,32,28
295,0,0,29,29
296,0,0,26,30
297,0,0,23,30
298,0,0,21,30
299,0,0,20,28
300,0,0,18,25
301,0,0,18,23
302,0,0,19,20
303,0,0,19,16
304,0,0,19,14
305,0,0,24,29
306,0,0,27,30
307,0,0,29,30
308,0,0,28,33
309,0,0,27,35
310,0,0,27,35
311,0,0,27,35
312,0,0,27,35
313,0,0,27,35
314,0,0,27,35
315,0,0,27,35
316,0,0,27,35
317,0,0,27,35
318,0,0,34,53
319,0,0,38,51
320,0,0,39,50
321,0,0,42,50
322,0,0,44,51
323,0,0,45,51
324,0,0,46,50
325,0,0,47,49
326,0,0,47,47
327,0,0,48,46
328,0,0,48,44
329,0,0,48,43
330,0,0,48,43
331,0,0,50,42
332,0,0,53,36
333,0,0,53,35
334,0,0,52,34
335,0,0,52,33
336,0,0,52,32
337,0,0,51,31
338,0,0,51,29
339,0,0,51,28
340,0,0,50,27
341,0,0,51,24
342,0,0,52,21
343,0,0,53,21
344,0,0,54,22
345,0,0,57,23
346,0,0,63,16
347,0,0,67,16
348,0,0,70,16
349,0,0,74,15
350,0,0,77,15
351,0,0,79,16
352,0,0,82,16
353,0,0,84,16
354,0,0,87,16
355,0,0,89,15
356,0,0,92,14
357,0,0,94,13
358,0,0,95,13
359,0,0,95,14
360,0,0,95,14
361,0,0,95,14
362,0,0,95,14
363,0,0,96,14
364,0,0,96,14
365,0,0,96,14
366,0,0,96,14
367,0,0,96,14
368,0,0,96,14
369,0,0,96,14
370,0,0,96,14
371,0,0,96,14
372,0,0,96,14
373,0,0,96,14
374,0,0,96,14
375,0,0,96,14
376,0,0,96,14
377,0,0,96,14
378,0,0,96,14
379,0,0,96,14
380,0,0,96,14
381,0,0,96,14
382,0,0,96,14
383,0,0,96,14
384,0,0,95,14
385,0,0,95,14
386,0,0,95,14
387,0,0,95,14
388,0,0,95,14
389,0,0,95,14
390,0,0,95,14
391,0,0,95,14
392,0,0,95,14
393,0,0,95,14
394,0,0,95,14
395,0,0,95,14
396,0,0,95,14
397,0,0,95,14
398,0,0,95,14
399,0,0,95,14
400,0,0,95,14
401,0,0,95,14
402,0,0,95,14
403,0,0,95,14
404,0,0,95,14
405,0,0,95,14
406,0,0,95,14
407,0,0,95,14
408,0,0,95,14
409,0,0,95,14
410,0,0,95,14
411,0,0,95,14
412,0,0,95,14
413,0,0,95,14
414,0,0,95,14
415,0,0,95,14
416,0,0,95,14
417,0,0,95,14
418,0,0,95,14
419,0,0,95,14
420,0,0,95,14
421,0,0,95,14
422,0,0,95,14
423,0,0,95,14
424,0,0,95,14
425,0,0,95,14
426,0,0,95,14
427,0,0,95,14
428,0,0,95,14
429,0,0,95,14
430,0,0,95,14
431,0,0,95,14
432,0,0,95,14
433,0,0,95,14
434,0,0,95,14
435,0,0,95,14
436,0,0,95,14
437,0,0,95,14
438,0,0,95,14
439,0,0,95,14
440,0,0,95,14
441,0,0,96,14
442,0,0,96,14
443,0,0,96,14
444,0,0,96,16
445,0,0,96,16
446,0,0,97,18
447,0,0,97,19
448,0,0,97,20
449,0,0,98,20
450,0,0,98,21
451,0,0,98,21
452,0,0,99,22
453,0,0,99,23
454,0,0,99,23
455,0,0,99,23
456,0,0,99,23
457,0,0,99,23
458,0,0,99,23
459,0,0,99,23
460,0,0,99,23
461,0,0,99,23
462,0,0,99,23
463,0,0,99,23
464,0,0,99,23
465,0,0,99,23
466,0,0,99,23
467,0,0,99,23
468,0,0,99,23
469,0,0,99,23
470,0,0,99,23
471,0,0,99,23
472,0,0,99,23
473,0,0,99,23
474,0,0,99,23
475,0,0,99,23
476,0,0,99,23
477,0,0,99,24
478,0,0,98,24
479,0,0,98,26
480,0,0,97,27
481,0,0,96,28
482,0,0,96,29
483,0,0,96,29
484,0,0,95,30
485,0,0,94,30
486,0,0,93,31
487,0,0,92,31
488,0,0,89,37
489,0,0,88,38
490,0,0,87,39
491,0,0,86,40
492,0,0,86,41
493,0,0,87,42
494,0,0,87,43
495,0,0,87,44
496,0,0,88,45
497,0,0,89,47
498,0,0,89,48
499,0,0,89,49
500,0,0,88,49
501,0,0,88,49
502,0,0,88,48
503,0,0,88,48
504,0,0,88,48
505,0,0,88,48
506,0,0,88,48
507,0,0,88,48
508,0,0,88,48
509,0,0,88,48
510,0,0,88,48
511,0,0,88,48
512,0,0,88,48
513,0,0,88,48
514,0,0,87,48
515,0,0,86,48
516,0,0,80,54
517,0,0,78,54
518,0,0,76,54
519,0,0,74,55
520,0,0,71,55
521,0,0,68,55
522,0,0,65,55
523,0,0,62,55
524,0,0,58,54
525,0,0,54,51
526,0,0,50,49
527,0,0,45,48
528,0,0,41,45
529,0,0,38,42
530,0,0,34,38
