frame_idx,led_1_status,led_2_status,0_x,0_y
7,0,0,335,85
8,0,0,333,91
9,0,0,333,91
10,0,0,333,91
11,0,0,333,91
12,0,0,333,91
13,0,0,333,91
14,0,0,319,133
15,0,0,318,139
16,0,0,316,145
17,0,0,314,150
18,0,0,312,157
19,0,0,311,164
20,0,0,309,170
21,0,0,307,176
22,0,0,305,183
23,0,0,303,189
24,0,0,302,195
25,0,0,302,200
26,0,0,303,204
27,0,0,303,209
28,0,0,304,215
29,0,0,305,218
30,0,0,312,219
31,0,0,319,221
32,0,0,324,224
33,0,0,329,227
34,0,0,331,231
35,0,0,333,236
36,0,0,333,236
37,0,0,333,236
38,0,0,333,236
39,0,0,333,236
40,0,0,333,236
41,0,0,313,205
42,0,0,310,204
43,0,0,307,203
44,0,0,304,200
45,0,0,301,198
46,0,0,300,196
47,0,0,291,193
48,0,0,282,188
49,0,0,282,188
50,0,0,282,188
51,0,0,300,189
52,0,0,301,185
53,0,0,303,179
54,0,0,297,162
55,0,0,297,157
56,0,0,297,151
57,0,0,297,145
58,0,0,299,139
59,0,0,300,134
60,0,0,303,130
61,0,0,307,130
62,0,0,310,127
63,0,0,311,125
64,0,0,312,123
65,0,0,314,121
66,0,0,313,119
67,0,0,313,119
68,0,0,313,118
69,0,0,313,118
70,0,0,315,117
71,0,0,315,117
72,0,0,315,117
73,0,0,315,117
74,0,0,315,117
75,0,0,315,117
76,0,0,315,117
77,0,0,315,117
78,0,0,316,115
79,0,0,315,112
80,0,0,315,109
81,0,0,316,104
82,0,0,316,100
83,0,0,317,96
84,0,0,316,92
85,0,0,316,92
86,0,0,316,92
87,0,0,316,92
88,0,0,315,92
89,0,0,315,91
90,0,0,315,91
91,0,0,315,91
92,0,0,315,91
93,0,0,315,91
94,0,0,315,91
95,0,0,315,92
96,0,0,315,93
97,0,0,315,93
98,0,0,315,92
99,0,0,315,92
100,0,0,315,92
101,0,0,315,91
102,0,0,314,90
103,0,0,314,90
104,0,0,314,90
105,0,0,314,90
106,0,0,314,90
107,0,0,314,91
108,0,0,314,92
109,0,0,313,92
110,0,0,313,92
111,0,0,313,92
112,0,0,313,92
113,0,0,313,92
114,0,0,313,92
115,0,0,313,91
116,0,0,312,91
117,0,0,312,91
118,0,0,312,91
119,0,0,311,91
120,0,0,311,90
121,0,0,311,90
122,0,0,311,90
123,0,0,311,90
124,0,0,311,90
125,0,0,311,90
126,0,0,311,90
127,0,0,311,89
128,0,0,311,89
129,0,0,311,89
130,0,0,311,89
131,0,0,311,89
132,0,0,311,89
133,0,0,311,89
134,0,0,311,89
135,0,0,311,89
136,0,0,311,89
137,0,0,311,89
138,0,0,311,89
139,0,0,338,109
140,0,0,338,109
141,0,0,338,109
142,0,0,338,109
143,0,0,338,109
144,0,0,338,109
145,0,0,338,109
146,0,0,338,109
147,0,0,363,128
148,0,0,367,127
149,0,0,371,126
150,0,0,374,124
151,0,0,376,123
152,0,0,378,122
153,0,0,378,120
154,0,0,380,118
155,0,0,383,114
156,0,0,386,107
157,0,0,386,102
158,0,0,387,98
159,0,0,388,93
160,0,0,389,90
161,0,0,389,87
162,0,0,388,87
163,0,0,387,87
164,0,0,386,86
165,0,0,386,85
166,0,0,383,83
167,0,0,381,81
168,0,0,374,78
169,0,0,374,77
170,0,0,374,77
171,0,0,374,77
172,0,0,374,77
173,0,0,374,78
174,0,0,374,79
175,0,0,374,80
176,0,0,374,80
177,0,0,374,80
178,0,0,374,80
179,0,0,374,80
180,0,0,374,80
181,0,0,374,80
182,0,0,372,85
183,0,0,372,85
184,0,0,372,85
185,0,0,372,85
186,0,0,372,85
187,0,0,372,85
188,0,0,372,85
189,0,0,372,85
190,0,0,372,85
191,0,0,372,85
192,0,0,371,84
193,0,0,371,84
194,0,0,371,82
195,0,0,371,79
196,0,0,371,76
197,0,0,372,74
198,0,0,372,71
199,0,0,372,69
200,0,0,372,69
201,0,0,370,70
202,0,0,369,70
203,0,0,367,68
204,0,0,366,68
205,0,0,365,67
206,0,0,364,67
207,0,0,362,67
208,0,0,356,68
209,0,0,353,69
210,0,0,350,72
211,0,0,345,75
212,0,0,344,80
213,0,0,343,86
214,0,0,343,91
215,0,0,340,92
216,0,0,341,96
217,0,0,340,101
218,0,0,340,105
219,0,0,341,109
220,0,0,342,117
221,0,0,344,119
222,0,0,345,121
223,0,0,345,122
224,0,0,346,123
225,0,0,346,126
226,0,0,347,128
227,0,0,347,132
228,0,0,347,135
229,0,0,347,137
230,0,0,349,140
231,0,0,352,145
232,0,0,353,148
233,0,0,355,150
234,0,0,356,150
235,0,0,356,150
236,0,0,355,150
237,0,0,355,149
238,0,0,353,148
239,0,0,349,150
240,0,0,348,147
