frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,326,72
7,0,0,326,72
8,0,0,326,72
9,0,0,326,72
10,0,0,326,72
11,0,0,326,72
12,0,0,326,72
13,0,0,326,72
14,0,0,326,72
15,0,0,333,68
16,0,0,333,68
17,0,0,333,68
18,0,0,333,68
19,0,0,333,68
20,0,0,333,68
21,0,0,333,68
22,0,0,334,68
23,0,0,334,68
24,0,0,334,68
25,0,0,334,68
26,0,0,333,68
27,0,0,334,68
28,0,0,334,68
29,0,0,333,68
30,0,0,334,68
31,0,0,333,68
32,0,0,334,68
33,0,0,334,68
34,0,0,334,68
35,0,0,334,68
36,0,0,334,68
37,0,0,334,68
38,0,0,333,68
39,0,0,333,68
40,0,0,333,68
41,0,0,333,68
42,0,0,333,68
43,0,0,333,68
44,0,0,333,68
45,0,0,333,68
46,0,0,339,67
47,0,0,339,67
48,0,0,338,67
49,0,0,338,67
50,0,0,338,67
51,0,0,338,67
52,0,0,338,67
53,0,0,338,67
54,0,0,338,67
55,0,0,338,67
56,0,0,338,67
57,0,0,338,68
58,0,0,338,68
59,0,0,338,68
60,0,0,338,68
61,0,0,338,68
62,0,0,338,68
63,0,0,338,68
64,0,0,338,68
65,0,0,338,68
66,0,0,339,69
67,0,0,339,69
68,0,0,339,69
69,0,0,338,69
70,0,0,338,69
71,0,0,338,69
72,0,0,338,69
73,0,0,338,69
74,0,0,338,69
75,0,0,338,69
76,0,0,338,69
77,0,0,338,69
78,0,0,338,69
79,0,0,339,69
80,0,0,338,69
81,0,0,338,69
82,0,0,338,69
83,0,0,337,68
84,0,0,338,68
85,0,0,338,69
86,0,0,338,68
87,0,0,337,68
88,0,0,338,68
89,0,0,338,68
90,0,0,338,68
91,0,0,338,68
92,0,0,338,68
93,0,0,338,69
94,0,0,338,68
95,0,0,338,68
96,0,0,338,68
97,0,0,338,69
98,0,0,338,68
99,0,0,338,68
100,0,0,338,68
101,0,0,338,68
102,0,0,338,68
103,0,0,338,68
104,0,0,337,68
105,0,0,337,68
106,0,0,337,68
107,0,0,337,68
108,0,0,337,69
109,0,0,337,69
110,0,0,336,69
111,0,0,336,68
112,0,0,336,69
113,0,0,336,69
114,0,0,336,69
115,0,0,336,69
116,0,0,336,69
117,0,0,336,69
118,0,0,336,69
119,0,0,336,70
120,0,0,336,70
121,0,0,337,70
122,0,0,337,70
123,0,0,337,70
124,0,0,337,70
125,0,0,337,70
126,0,0,337,70
127,0,0,337,70
128,0,0,337,70
129,0,0,337,70
130,0,0,337,70
131,0,0,337,70
132,0,0,337,70
133,0,0,338,70
134,0,0,337,70
135,0,0,337,70
136,0,0,337,70
137,0,0,337,70
138,0,0,337,70
139,0,0,337,70
140,0,0,337,70
141,0,0,337,70
142,0,0,337,70
143,0,0,337,70
144,0,0,337,70
145,0,0,337,70
146,0,0,337,70
147,0,0,337,70
148,0,0,337,70
149,0,0,337,70
150,0,0,337,70
151,0,0,337,70
152,0,0,337,70
153,0,0,337,71
154,0,0,336,71
155,0,0,336,71
156,0,0,336,71
157,0,0,336,71
158,0,0,336,71
159,0,0,336,71
160,0,0,336,71
161,0,0,336,71
162,0,0,336,71
163,0,0,336,72
164,0,0,337,72
165,0,0,336,73
166,0,0,337,73
167,0,0,337,72
168,0,0,338,72
169,0,0,337,72
170,0,0,337,73
171,0,0,337,73
172,0,0,337,73
173,0,0,337,73
174,0,0,338,73
175,0,0,337,73
176,0,0,337,73
177,0,0,338,73
178,0,0,338,73
179,0,0,338,73
180,0,0,338,73
181,0,0,338,73
182,0,0,338,73
183,0,0,338,73
184,0,0,338,73
185,0,0,338,73
186,0,0,338,73
187,0,0,338,73
188,0,0,338,73
189,0,0,338,73
190,0,0,338,73
191,0,0,338,73
192,0,0,338,73
193,0,0,338,73
194,0,0,338,73
195,0,0,338,73
196,0,0,338,73
197,0,0,338,73
198,0,0,338,73
199,0,0,338,73
200,0,0,338,73
201,0,0,338,73
202,0,0,338,73
203,0,0,338,73
204,0,0,338,73
205,0,0,338,73
206,0,0,338,73
207,0,0,338,73
208,0,0,338,73
209,0,0,338,73
210,0,0,338,73
211,0,0,338,73
212,0,0,338,73
213,0,0,338,73
214,0,0,338,73
215,0,0,338,73
216,0,0,338,73
217,0,0,338,73
218,0,0,338,73
219,0,0,338,73
220,0,0,338,73
221,0,0,338,73
222,0,0,338,73
223,0,0,338,73
224,0,0,338,73
225,0,0,338,73
226,0,0,338,73
227,0,0,338,73
228,0,0,338,73
229,0,0,338,73
230,0,0,338,73
231,0,0,338,73
232,0,0,338,73
233,0,0,338,73
234,0,0,338,73
235,0,0,338,73
236,0,0,338,73
237,0,0,338,73
238,0,0,338,73
239,0,0,338,73
240,0,0,338,73
241,0,0,338,73
242,0,0,338,73
243,0,0,338,73
244,0,0,338,73
245,0,0,338,73
246,0,0,338,73
247,0,0,338,74
248,0,0,338,74
249,0,0,338,74
250,0,0,338,74
251,0,0,338,74
252,0,0,338,74
253,0,0,338,74
254,0,0,338,74
255,0,0,338,74
256,0,0,338,74
257,0,0,338,74
258,0,0,338,74
259,0,0,338,74
260,0,0,338,74
261,0,0,338,74
262,0,0,338,74
263,0,0,338,74
264,0,0,338,74
265,0,0,338,74
266,0,0,338,74
267,0,0,338,74
268,0,0,338,74
269,0,0,338,74
270,0,0,338,74
271,0,0,338,74
272,0,0,338,74
273,0,0,338,74
274,0,0,338,74
275,0,0,338,74
276,0,0,337,75
277,0,0,337,76
278,0,0,336,77
279,0,0,336,78
280,0,0,335,80
281,0,0,335,82
282,0,0,334,84
283,0,0,333,88
284,0,0,331,92
285,0,0,330,98
286,0,0,330,103
287,0,0,330,110
288,0,0,331,117
289,0,0,332,123
290,0,0,333,129
291,0,0,334,137
292,0,0,335,145
293,0,0,336,153
294,0,0,338,158
295,0,0,341,163
296,0,0,343,168
297,0,0,345,170
298,0,0,348,172
299,0,0,350,172
300,0,0,353,174
301,0,0,356,176
302,0,0,358,178
303,0,0,360,181
304,0,0,361,182
305,0,0,361,182
306,0,0,361,183
307,0,0,361,183
308,0,0,361,182
309,0,0,361,182
310,0,0,361,182
311,0,0,361,182
312,0,0,361,182
313,0,0,361,182
314,0,0,361,182
315,0,0,361,182
316,0,0,361,182
317,0,0,361,182
318,0,0,361,182
319,0,0,361,182
320,0,0,361,182
321,0,0,361,182
322,0,0,361,182
323,0,0,363,183
324,0,0,363,183
325,0,0,363,183
326,0,0,363,183
327,0,0,363,183
328,0,0,363,184
329,0,0,364,185
330,0,0,365,186
331,0,0,367,187
332,0,0,369,189
333,0,0,370,190
334,0,0,371,191
335,0,0,372,192
336,0,0,372,192
337,0,0,372,192
338,0,0,372,192
339,0,0,372,192
340,0,0,372,192
341,0,0,372,192
342,0,0,372,191
343,0,0,372,191
344,0,0,372,191
345,0,0,372,190
346,0,0,372,191
347,0,0,372,191
348,0,0,373,191
349,0,0,374,193
350,0,0,377,195
351,0,0,380,199
352,0,0,384,204
353,0,0,388,211
354,0,0,391,218
355,0,0,395,221
356,0,0,395,220
357,0,0,389,217
358,0,0,385,214
359,0,0,386,213
360,0,0,387,213
