frame_idx,led_1_status,led_2_status,0_x,0_y
6,0,0,681,96
7,0,0,681,95
8,0,0,681,95
9,0,0,680,95
10,0,0,681,95
11,0,0,681,94
12,0,0,681,94
13,0,0,681,93
14,0,0,681,93
15,0,0,681,93
16,0,0,681,93
17,0,0,681,93
18,0,0,681,93
19,0,0,683,93
20,0,0,685,92
21,0,0,686,91
22,0,0,688,90
23,0,0,691,89
24,0,0,692,89
25,0,0,693,90
26,0,0,695,90
27,0,0,695,91
28,0,0,695,91
29,0,0,695,91
30,0,0,695,91
31,0,0,694,90
32,0,0,695,88
33,0,0,699,83
34,0,0,699,79
35,0,0,699,79
36,0,0,699,78
37,0,0,699,78
38,0,0,699,78
39,0,0,699,78
40,0,0,699,78
41,0,0,699,79
42,0,0,698,82
43,0,0,698,83
44,0,0,698,84
45,0,0,699,86
46,0,0,701,88
47,0,0,702,89
48,0,0,703,89
49,0,0,704,90
50,0,0,705,90
51,0,0,705,90
52,0,0,704,89
53,0,0,705,89
54,0,0,705,89
55,0,0,706,88
56,0,0,706,88
57,0,0,707,88
58,0,0,707,88
59,0,0,708,88
60,0,0,708,88
61,0,0,708,88
62,0,0,708,88
63,0,0,709,88
64,0,0,708,89
65,0,0,708,89
66,0,0,709,89
67,0,0,709,89
68,0,0,709,89
69,0,0,709,89
70,0,0,709,89
71,0,0,709,89
72,0,0,709,89
73,0,0,709,89
74,0,0,709,89
75,0,0,709,88
76,0,0,709,88
77,0,0,709,88
78,0,0,710,88
79,0,0,711,88
80,0,0,712,88
81,0,0,714,88
82,0,0,714,88
83,0,0,714,88
84,0,0,714,88
85,0,0,714,88
86,0,0,714,88
87,0,0,714,88
88,0,0,713,88
89,0,0,713,88
90,0,0,713,88
91,0,0,714,88
92,0,0,714,88
93,0,0,714,87
94,0,0,713,87
95,0,0,713,87
96,0,0,713,87
97,0,0,713,86
98,0,0,713,87
99,0,0,713,87
100,0,0,713,87
101,0,0,713,87
102,0,0,713,86
103,0,0,713,86
104,0,0,713,85
105,0,0,713,84
106,0,0,713,83
107,0,0,713,82
108,0,0,713,80
109,0,0,713,78
110,0,0,712,75
111,0,0,712,73
112,0,0,711,70
113,0,0,711,69
114,0,0,711,69
115,0,0,711,69
116,0,0,711,69
117,0,0,712,69
118,0,0,712,69
119,0,0,713,69
120,0,0,714,69
121,0,0,715,68
122,0,0,716,67
123,0,0,716,67
124,0,0,717,68
125,0,0,716,68
126,0,0,716,68
127,0,0,716,67
128,0,0,716,67
129,0,0,716,67
130,0,0,716,67
131,0,0,716,67
132,0,0,716,67
133,0,0,716,67
134,0,0,742,40
135,0,0,742,40
136,0,0,742,40
137,0,0,742,40
138,0,0,742,40
139,0,0,742,38
140,0,0,735,34
141,0,0,730,30
142,0,0,727,27
143,0,0,727,25
144,0,0,737,33
145,0,0,741,42
146,0,0,740,47
147,0,0,740,47
148,0,0,740,47
149,0,0,740,47
150,0,0,740,47
151,0,0,740,47
152,0,0,740,47
153,0,0,740,47
154,0,0,740,47
155,0,0,740,47
156,0,0,740,47
157,0,0,740,47
158,0,0,740,47
159,0,0,740,47
160,0,0,740,47
161,0,0,740,47
162,0,0,740,47
163,0,0,740,47
164,0,0,740,47
165,0,0,740,47
166,0,0,631,117
167,0,0,619,115
168,0,0,607,114
169,0,0,595,111
170,0,0,583,108
171,0,0,572,105
172,0,0,561,102
173,0,0,551,98
174,0,0,540,95
175,0,0,531,91
176,0,0,521,86
177,0,0,513,81
178,0,0,504,75
179,0,0,497,69
180,0,0,489,63
181,0,0,484,58
182,0,0,477,52
183,0,0,477,52
184,0,0,477,52
185,0,0,477,52
186,0,0,477,52
187,0,0,477,52
188,0,0,477,52
189,0,0,477,52
190,0,0,477,52
191,0,0,477,52
192,0,0,477,52
193,0,0,477,52
194,0,0,464,75
195,0,0,465,79
196,0,0,466,81
197,0,0,470,81
198,0,0,474,82
199,0,0,477,77
200,0,0,477,77
