"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"NL_CS_1",2,"trial","M","right","pole",1.1,2.6,55.47,55.47,0,4.53,1,0,0,20.8658363565484,0.0444281662145448,NA,0
"NL_CS_1",4,"trial","M","right","pole",0.33,2.7,57.3,57.3,0,2.7,1,1,1,12.0375589524659,0.043034316289382,1,0
"NL_CS_1",6,"trial","M","left","pole",1.83,2.57,15.43,54.03,0.7,5.27,1,0,0,36.9973583106811,0.067807093331242,1,0
"NL_CS_1",8,"trial","M","left","pole",2.27,5.07,52.43,52.43,0,7.57,1,0,0,14.4209302840111,0.0183962337574343,0,0
"NL_CS_1",10,"trial","M","left","pole",2.13,4,56,56,0,4,1,1,1,15.4773635226995,0.0373488501995645,1,0
"NL_CS_1",12,"trial","M","right","safe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"NL_CS_1",14,"trial","M","left","pole",0.13,1.03,12.07,53.2,5.77,1.03,1,1,1,45.0477228833965,0.420797012860224,0,0
"NL_CS_1",16,"trial","M","right","pole",0.4,2.53,19.27,45.2,10.9,3.9,1,0,1,50.0046930390779,0.123761739033457,1,0
"NL_CS_1",18,"trial","M","left","pole",0.73,0.8,59.2,59.2,0,0.8,1,1,1,12.1501143585422,0.146598870156156,0,0
"NL_CS_1",20,"trial","M","left","pole",1.77,3,57,57,0,3,1,1,1,21.2811992636116,0.0684723271029973,1,0
"NL_CS_1",22,"trial","M","right","pole",0.57,2.3,9.57,47.5,10.2,2.3,1,1,0,65.565725750479,0.275162522034913,0,0
"NL_CS_1",24,"trial","M","left","pole",1.37,3.33,53.33,53.33,0,6.67,1,0,0,19.8701687395088,0.0287695493332656,1,0
"NL_CS_1",26,"trial","M","left","pole",0.93,4.23,55.77,55.77,0,4.23,1,1,1,9.05591663915291,0.0206485801823023,1,0
